dataset,metric,with_adj,without_adj,delta,delta_pct
Baseline_Y2,ERPU_mean,403242.23013274337,405181.87850665353,1939.6483739101677,0.4810132047111372
Baseline_Y2,return_pct_of_gross,7.793018863317898,3.1187897781911915,-4.674229085126706,-59.9796967915543
Baseline_Y2,top10_user_share,0.5203166901339867,0.5100347634500876,-0.010281926683899156,-1.9760901156661836
Baseline_Y2,net_revenue,1640389392.18,1644228062.98,3838670.7999999523,0.23400973075658216
Baseline_Y2,adj_rows_excluded,323055.0,321658.0,-1397.0,-0.4324341056476452
Shock,ERPU_mean,147097.18968376672,147741.003955809,643.8142720422766,0.43767951884489764
Shock,return_pct_of_gross,4.817798888340133,2.5426503115584307,-2.275148576781702,-47.22381796151634
Shock,top10_user_share,0.42181288529978905,0.4161811985686398,-0.005631686731149277,-1.3351149117094296
Shock,net_revenue,209319300.92000002,207280628.55,-2038672.3700000048,-0.9739533626567801
Shock,adj_rows_excluded,42153.0,41971.0,-182.0,-0.43176049154271345
