dataset,E_freq,E_basket_gross,E_basket_net,E_return_rate,ERPU_structural,ERPU_direct,ERPU_actual
Baseline_Y2,3.629301868239921,100561.2738918094,92724.5148482279,0.07793018863317898,336525.25497031386,336525.25497031386,403242.23013274337
Shock,1.3450456781447646,96369.11968448729,91726.24930762488,0.04817798888340133,123375.99520365008,123375.99520365005,147097.18968376672
