dataset,top10_products_share_returns,top10_products_share_net,hhi_product_net,n_products
Baseline_Y2,0.8087612955476233,0.07409699498755509,0.002077899777867126,3634
Shock,0.7252490294930919,0.07332680915013252,0.0017576940891618612,3045
