dataset,rows,users,baskets,gross,returns,net,return_pct_of_gross,erpu_mean,erpu_median,top10_user_share,top1_user_share,gini_coefficient,top1_basket_share
Baseline_Y2,323055,4068,17691,1779029496.42,138640104.24,1640389392.18,7.793018863317898,403242.23013274337,185273.015,0.5203166901339867,0.20261858836961355,0.6357436947844802,0.15177031593647453
Shock,42153,1423,2282,219914331.12,10595030.2,209319300.92000002,4.817798888340133,147097.18968376672,95005.10999999999,0.42181288529978905,0.1286749889361325,0.5565753621066875,0.08841021897485134
