targeted_n,targeted_pct,total_erpu,top10_share_pct
100,2.282583884957772,255276388.22280273,20.75597542161342
187,4.268431864871034,359688896.4536998,22.958495075344302
274,6.254279844784295,440190607.61345786,25.05555107467397
361,8.240127824697558,506835055.9102615,26.382442321378953
448,10.225975804610819,564851209.462735,27.045480280409535
535,12.211823784524082,617490779.5364966,27.91862605934041
622,14.197671764437342,666329043.5197996,28.66022469612574
709,16.183519744350605,711895872.6174072,28.99400176060154
796,18.169367724263864,754427301.9190141,29.505530491331882
883,20.155215704177127,794219080.5149018,29.863130571334416
970,22.14106368409039,831668229.7885437,30.16266837242485
1057,24.126911664003654,867318929.2159903,30.260549994636698
1144,26.112759643916917,900990087.8402536,30.516522345677892
1231,28.098607623830173,933078484.2979723,30.74244119291491
1318,30.084455603743436,963822531.415626,30.815264689939063
1405,32.0703035836567,993141970.236152,31.00054504018635
1492,34.056151563569955,1021115010.8926245,31.180370367727246
1579,36.04199954348322,1047936150.1907064,31.253056909746867
1666,38.02784752339649,1073501507.548968,31.44165871529162
1753,40.01369550330975,1098137058.619129,31.617255240025894
1840,41.99954348322301,1121952704.672854,31.78419735430286
1927,43.98539146313627,1144974036.0442467,31.859350788002423
2014,45.971239443049534,1167202161.3028092,32.02051465159242
2101,47.95708742296279,1188663189.8945081,32.17621227305096
2188,49.94293540287605,1209389279.2873337,32.256314108988725
2275,51.92878338278932,1229364149.9404898,32.420726807945364
2362,53.91463136270258,1248494110.588077,32.58346021770052
2449,55.90047934261584,1266699417.379788,32.682204435492885
2536,57.886327322529105,1283923137.6682863,32.8644769040122
2623,59.872175302442365,1300251688.7919974,33.059745610278206
2710,61.858023282355624,1315753996.420322,33.26066067954173
2797,63.84387126226889,1330264218.5095847,33.40716233831466
2884,65.82971924218215,1343526814.9942255,33.62738943513828
2971,67.81556722209541,1355828669.986318,33.85042433386468
3058,69.80141520200867,1367510332.8869328,34.02096424331724
3145,71.78726318192193,1378671092.3540182,34.25058016046625
3232,73.77311116183519,1389272723.3122952,34.48313915316599
3319,75.75895914174846,1399181074.207613,34.66738273570441
3406,77.74480712166172,1408397769.4203858,34.91174945458348
3493,79.73065510157498,1416802958.5775785,35.16748033252474
3580,81.71650308148824,1424472966.638467,35.43070655697609
3667,83.7023510614015,1431346710.7771344,35.65678120078764
3754,85.68819904131477,1437204109.5405672,35.94794768572051
3841,87.67404702122803,1442363650.0696855,36.24899500227367
3928,89.6598950011413,1446857172.3871326,36.51177601528235
4015,91.64574298105455,1450843159.0248272,36.828470199163235
4102,93.63159096096781,1454376603.817396,37.14921126582858
4189,95.61743894088107,1457194817.7051144,37.437566327685175
4276,97.60328692079435,1459352835.057952,37.783556090739346
4363,99.58913490070759,1460658407.747677,38.14680219914413
4381,100.0,1460809063.6040144,38.23073797783333
