seg_lifecycle,seg_value,seg_return,users,erpu_mean,erpu_median,avg_return_rate,avg_freq,avg_recency
Active,Low,Normal,250,72633.76344,79373.15999999999,0.01074387834694094,1.548,16.776
Active,Low,Return-Prone,17,-246048.91176470587,55152.75,1.0012470682027483,3.0588235294117645,13.882352941176471
Active,Mid,Normal,499,239307.55645290582,237477.21,0.013442417460093722,3.082164328657315,14.230460921843687
Active,Mid,Return-Prone,3,210576.8933333333,235073.33999999997,0.46848835367098446,5.666666666666667,11.666666666666666
Active,High,Normal,890,1399768.2355730338,819243.875,0.018021773623452017,11.268539325842697,11.119101123595506
Active,High,Return-Prone,14,3660659.968571428,1112159.415,0.3841582140502185,23.785714285714285,12.714285714285714
At-Risk,Low,Normal,363,66819.03994490358,74878.8,0.00993709274907166,1.3663911845730028,57.18732782369146
At-Risk,Low,Return-Prone,23,-667521.8426086957,16261.74999999997,1.243649417717047,2.9565217391304346,59.78260869565217
At-Risk,Mid,Normal,480,232463.85479166667,222033.41499999998,0.012027075053449108,2.5229166666666667,56.360416666666666
At-Risk,Mid,Return-Prone,5,206345.00200000004,196973.06,0.5189529538616413,4.6,62.8
At-Risk,High,Normal,383,780238.6600261097,613104.4199999999,0.015836307037213934,5.759791122715405,53.77284595300261
At-Risk,High,Return-Prone,7,1270572.6357142855,671788.68,0.43436904810111077,9.714285714285714,64.28571428571429
Dormant,Low,Normal,772,574.2521373056976,60015.6,0.008645986945319645,1.160621761658031,232.220207253886
Dormant,Low,Return-Prone,36,-321295.8580555555,29865.675,0.7671569198591667,1.6944444444444444,202.25
Dormant,Mid,Normal,466,205174.97987124464,188222.37,0.013004154604532117,2.1394849785407724,194.29828326180257
Dormant,Mid,Return-Prone,8,189385.5275,184640.70500000002,0.33692500108340806,3.5,151.75
Dormant,High,Normal,164,767168.6242073171,538567.81,0.01782008880524485,4.817073170731708,156.4878048780488
Dormant,High,Return-Prone,3,943366.7866666666,910408.13,0.48205849374765336,5.0,112.33333333333333
