UserID,cluster_id
27256,2
30447,2
26991,2
26501,2
30186,2
26039,2
30195,2
29856,2
27656,2
26951,2
25434,2
27406,2
25093,2
29029,2
26872,2
25438,2
26643,2
28113,2
25426,2
27384,2
30294,2
27025,2
29099,2
26247,2
29127,2
28894,2
25909,2
29722,2
26143,2
30265,2
26376,2
29050,2
28374,2
29795,2
24816,2
25026,2
29124,2
25276,2
25266,2
29793,2
29588,2
28183,2
26226,2
28767,2
27012,2
29934,2
30210,2
27350,2
28153,2
25753,2
26147,2
25423,2
25054,2
26112,2
26122,2
24992,2
25082,0
30020,2
28114,2
25346,2
27240,2
28201,2
30022,2
29329,2
25519,2
29734,2
29058,2
25027,2
24827,2
26603,2
27858,2
29773,2
25294,2
26385,2
25664,2
26850,2
26375,2
24760,2
25442,2
29430,2
28343,2
24817,2
27389,2
25180,2
26394,2
27960,2
24702,0
29091,2
26760,2
28364,2
30596,2
28064,2
25023,2
28555,2
27900,2
30051,2
25813,2
30285,2
28506,2
27868,2
26407,2
29761,2
28243,2
26426,2
26032,0
28212,2
25059,2
29484,2
30517,2
26430,2
27703,2
27985,2
30061,2
29576,2
27892,2
25395,2
24966,2
29159,2
25551,2
29726,2
29709,2
29921,2
27368,2
28219,2
27306,2
28417,0
30605,2
25013,2
24885,2
28672,2
29583,2
27423,2
25482,2
28358,2
26888,2
28895,2
27915,2
29413,2
25960,2
27946,2
25575,2
25685,2
26025,2
27843,2
29683,2
26297,2
26214,2
25887,2
26771,2
29685,2
26539,2
29926,2
26080,2
30310,2
28870,2
24782,2
28997,2
28478,2
24821,2
25523,2
25358,2
25414,2
25493,2
26479,2
30353,2
26806,2
29268,2
30203,2
26060,2
29749,2
24754,2
30102,2
29956,2
27605,2
27626,2
26013,2
29283,2
29389,2
28072,2
27194,2
30568,2
28329,2
24822,0
27727,2
26644,2
26361,2
25833,2
28471,2
27636,2
27438,2
25349,2
26740,2
27641,2
28898,2
24725,2
30570,2
29055,2
28083,2
27297,2
26880,2
30571,2
27916,2
26594,2
28545,2
29330,2
26389,2
29188,2
